date,temperature,humidity,luminosity
2019-12-04 14:53:28.760,22.3,33.0,269
2019-12-04 14:53:31.033,22.3,33.0,269
2019-12-04 14:53:33.305,22.3,32.9,271
2019-12-04 14:53:35.583,22.3,32.9,269
2019-12-04 14:53:37.855,22.4,33.0,269
2019-12-04 14:53:40.133,22.3,32.9,269
2019-12-04 14:53:42.407,22.3,32.9,271
2019-12-04 14:53:44.680,22.3,32.9,275
2019-12-04 14:53:46.957,22.3,32.9,273
2019-12-04 14:53:49.229,22.3,32.9,277
2019-12-04 14:53:51.507,22.3,32.9,275
2019-12-04 14:53:53.781,22.3,33.0,267
2019-12-04 14:53:56.054,22.3,33.0,275
2019-12-04 14:53:58.330,22.3,33.0,271
2019-12-04 14:54:00.604,22.3,33.0,275
2019-12-04 14:54:02.877,22.3,33.0,269
2019-12-04 14:54:05.153,22.3,33.0,269
2019-12-04 14:54:07.427,22.3,33.0,267
2019-12-04 14:54:09.704,22.3,33.0,275
2019-12-04 14:54:11.977,22.3,33.0,267
2019-12-04 14:54:14.250,22.3,33.0,269
2019-12-04 14:54:16.528,22.3,33.0,269
2019-12-04 14:54:18.800,22.2,33.0,269
2019-12-04 14:54:21.078,22.3,33.1,269
2019-12-04 14:54:23.352,22.3,33.1,269
2019-12-04 14:54:25.625,22.3,33.1,267
2019-12-04 14:54:27.902,22.3,33.1,275
2019-12-04 14:54:30.175,22.3,33.2,275
2019-12-04 14:54:32.453,22.3,33.2,275
2019-12-04 14:54:34.726,22.3,33.2,275
2019-12-04 14:54:37.000,22.2,33.2,269
2019-12-04 14:54:39.276,22.2,33.2,269
2019-12-04 14:54:41.549,22.2,33.2,269
2019-12-04 14:54:43.826,22.2,33.2,267
2019-12-04 14:54:46.098,22.2,33.2,267
2019-12-04 14:54:48.373,22.2,33.2,245
2019-12-04 14:54:50.650,22.2,33.4,227
2019-12-04 14:54:52.923,22.2,33.7,247
2019-12-04 14:54:55.200,22.2,33.8,258
2019-12-04 14:54:57.473,22.2,34.0,250
2019-12-04 14:54:59.747,22.2,34.0,247
2019-12-04 14:55:02.023,22.2,34.0,252
2019-12-04 14:55:04.296,22.2,33.9,252
2019-12-04 14:55:06.570,22.2,33.9,254
2019-12-04 14:55:08.847,22.2,33.8,254
2019-12-04 14:55:11.121,22.2,33.8,252
2019-12-04 14:55:13.397,22.2,33.7,249
2019-12-04 14:55:15.672,22.3,33.8,249
2019-12-04 14:55:17.945,22.2,33.7,254
2019-12-04 14:55:20.221,22.2,33.7,258
2019-12-04 14:55:22.496,22.2,33.7,249
2019-12-04 14:55:24.769,22.2,33.7,249
2019-12-04 14:55:27.046,22.2,33.6,250
2019-12-04 14:55:29.319,22.2,33.6,249
2019-12-04 14:55:31.596,22.2,33.6,249
2019-12-04 14:55:33.868,22.2,33.6,250
2019-12-04 14:55:36.142,22.2,33.7,249
2019-12-04 14:55:38.418,22.2,33.7,249
2019-12-04 14:55:40.693,22.2,33.7,157
2019-12-04 14:55:42.966,22.2,33.8,176
2019-12-04 14:55:45.244,22.2,34.0,238
2019-12-04 14:55:47.517,22.3,34.4,254
2019-12-04 14:55:49.794,22.2,34.3,250
2019-12-04 14:55:52.067,22.2,34.4,252
2019-12-04 14:55:54.340,22.3,34.4,252
2019-12-04 14:55:56.616,22.3,34.3,252
2019-12-04 14:55:58.889,22.3,34.2,254
2019-12-04 14:56:01.166,22.3,34.1,254
2019-12-04 14:56:03.441,22.3,34.1,254
2019-12-04 14:56:05.718,22.3,34.0,256
2019-12-04 14:56:07.991,22.3,34.0,254
2019-12-04 14:56:10.264,22.3,33.9,254
2019-12-04 14:56:12.540,22.3,33.9,254
2019-12-04 14:56:14.814,22.3,33.9,252
2019-12-04 14:56:17.092,22.3,33.9,249
2019-12-04 14:56:19.364,22.3,33.9,250
2019-12-04 14:56:21.637,22.2,33.8,252
2019-12-04 14:56:23.915,22.3,33.8,252
2019-12-04 14:56:26.187,22.3,33.8,250
2019-12-04 14:56:28.465,22.3,33.7,247
2019-12-04 14:56:30.738,22.3,33.7,249
2019-12-04 14:56:33.011,22.2,33.6,249
2019-12-04 14:56:35.287,22.3,33.6,252
2019-12-04 14:56:37.561,22.3,33.5,252
2019-12-04 14:56:39.839,22.3,33.4,256
2019-12-04 14:56:42.111,22.3,33.4,252
2019-12-04 14:56:44.384,22.2,33.2,250
2019-12-04 14:56:46.663,22.2,33.2,250
2019-12-04 14:56:48.935,22.2,33.1,250
2019-12-04 14:56:51.212,22.2,33.1,249
2019-12-04 14:56:53.485,22.3,33.1,249
2019-12-04 14:56:55.759,22.2,33.0,249
2019-12-04 14:56:58.036,22.2,32.9,249
2019-12-04 14:57:00.309,22.2,32.9,250
2019-12-04 14:57:02.582,22.2,32.8,243
2019-12-04 14:57:04.859,22.2,32.8,260
2019-12-04 14:57:07.133,22.1,32.6,260
2019-12-04 14:57:09.410,22.3,32.7,260
2019-12-04 14:57:11.684,22.2,32.5,258
2019-12-04 14:57:13.956,22.3,32.5,260
2019-12-04 14:57:16.233,22.2,32.5,260
2019-12-04 14:57:18.506,22.2,32.5,261
2019-12-04 14:57:20.781,22.2,32.5,261
2019-12-04 14:57:23.056,22.2,32.5,261
2019-12-04 14:57:25.331,22.2,32.6,261
2019-12-04 14:57:27.608,22.1,32.5,261
2019-12-04 14:57:29.881,22.1,32.5,261
2019-12-04 14:57:32.153,22.2,32.7,260
2019-12-04 14:57:34.430,22.1,32.6,260
2019-12-04 14:57:36.705,22.2,32.7,260
2019-12-04 14:57:38.977,22.1,32.6,260
