date,temperature,humidity,luminosity
2019-12-11 14:33:50.866,21.5,34.9,185
2019-12-11 14:33:53.143,21.5,34.9,185
2019-12-11 14:33:55.421,21.5,34.9,186
2019-12-11 14:33:57.698,21.5,34.9,185
2019-12-11 14:33:59.975,21.5,34.9,186
2019-12-11 14:34:02.252,21.5,34.9,185
2019-12-11 14:34:04.529,21.5,34.9,186
2019-12-11 14:34:06.807,21.5,34.9,186
2019-12-11 14:34:09.084,21.5,35.0,185
2019-12-11 14:34:11.361,21.5,34.9,185
2019-12-11 14:34:13.639,21.5,34.9,185
2019-12-11 14:34:15.916,21.5,34.9,185
2019-12-11 14:34:18.193,21.5,34.9,185
2019-12-11 14:34:20.470,21.5,34.9,185
2019-12-11 14:34:22.748,21.5,34.9,185
2019-12-11 14:34:25.025,21.5,34.9,185
2019-12-11 14:34:27.301,21.5,34.9,185
2019-12-11 14:34:29.579,21.5,34.9,185
2019-12-11 14:34:31.856,21.5,34.9,185
2019-12-11 14:34:34.133,21.5,34.9,186
2019-12-11 14:34:36.410,21.5,34.9,185
2019-12-11 14:34:38.687,21.5,35.0,185
2019-12-11 14:34:40.964,21.5,35.0,185
2019-12-11 14:34:43.242,21.5,35.0,185
2019-12-11 14:34:45.519,21.5,35.0,185
2019-12-11 14:34:47.796,21.5,35.0,185
2019-12-11 14:34:50.074,21.5,35.1,185
2019-12-11 14:34:52.351,21.5,35.1,186
2019-12-11 14:34:54.628,21.5,35.1,186
2019-12-11 14:34:56.905,21.4,35.0,185
2019-12-11 14:34:59.183,21.4,34.9,185
2019-12-11 14:35:01.459,21.5,35.0,185
2019-12-11 14:35:03.737,21.4,35.0,185
2019-12-11 14:35:06.014,21.5,35.1,186
2019-12-11 14:35:08.291,21.5,35.1,186
2019-12-11 14:35:10.568,21.5,35.1,185
2019-12-11 14:35:12.845,21.4,35.0,185
2019-12-11 14:35:15.123,21.5,35.1,185
2019-12-11 14:35:17.400,21.4,35.0,185
2019-12-11 14:35:19.677,21.5,35.0,185
2019-12-11 14:35:21.954,21.5,35.0,185
2019-12-11 14:35:24.231,21.4,34.9,186
2019-12-11 14:35:26.508,21.5,35.0,185
2019-12-11 14:35:28.786,21.5,35.0,185
2019-12-11 14:35:31.062,21.4,34.9,185
2019-12-11 14:35:33.340,21.5,35.0,185
2019-12-11 14:35:35.617,21.4,34.9,186
2019-12-11 14:35:37.894,21.4,34.9,185
2019-12-11 14:35:40.172,21.4,34.9,185
2019-12-11 14:35:42.449,21.4,34.9,186
2019-12-11 14:35:44.726,21.5,34.9,186
2019-12-11 14:35:46.999,21.4,34.8,185
2019-12-11 14:35:49.276,21.4,34.7,185
2019-12-11 14:35:51.553,21.4,34.7,185
2019-12-11 14:35:53.830,21.5,34.8,185
2019-12-11 14:35:56.107,21.5,34.7,185
2019-12-11 14:35:58.384,21.4,34.6,185
